|PassengerId|Survived|Pclass|Name|Sex|Age|SibSp|Parch|Ticket|Fare|Cabin|Embarked|AgeGroup
1|2|1|1|Cumings, Mrs. John Bradley (Florence Briggs Thayer)|female|38.0|1|0|PC 17599|71.2833|C85|C|E4
3|4|1|1|Futrelle, Mrs. Jacques Heath (Lily May Peel)|female|35.0|1|0|113803|53.1|C123|S|E4
4|5|0|3|Allen, Mr. William Henry|male|35.0|0|0|373450|8.05||S|E4
13|14|0|3|Andersson, Mr. Anders Johan|male|39.0|1|5|347082|31.275||S|E4
20|21|0|2|Fynney, Mr. Joseph J|male|35.0|0|0|239865|26.0||S|E4
21|22|1|2|Beesley, Mr. Lawrence|male|34.0|0|0|248698|13.0|D56|S|E4
25|26|1|3|Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)|female|38.0|1|5|347077|31.3875||S|E4
30|31|0|1|Uruchurtu, Don. Manuel E|male|40.0|0|0|PC 17601|27.7208||C|E4
40|41|0|3|Ahlin, Mrs. Johan (Johanna Persdotter Larsson)|female|40.0|1|0|7546|9.475||S|E4
61|62|1|1|Icard, Miss. Amelie|female|38.0|0|0|113572|80.0|B28||E4
70|71|0|2|Jenkin, Mr. Stephen Curnow|male|32.0|0|0|C.A. 33111|10.5||S|E4
74|75|1|3|Bing, Mr. Lee|male|32.0|0|0|1601|56.4958||S|E4
85|86|1|3|Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)|female|33.0|3|0|3101278|15.85||S|E4
98|99|1|2|Doling, Mrs. John T (Ada Julia Bone)|female|34.0|0|1|231919|23.0||S|E4
99|100|0|2|Kantor, Mr. Sinai|male|34.0|1|0|244367|26.0||S|E4
103|104|0|3|Johansson, Mr. Gustaf Joel|male|33.0|0|0|7540|8.6542||S|E4
104|105|0|3|Gustafsson, Mr. Anders Vilhelm|male|37.0|2|0|3101276|7.925||S|E4
108|109|0|3|Rekic, Mr. Tido|male|38.0|0|0|349249|7.8958||S|E4
122|123|0|2|Nasser, Mr. Nicholas|male|32.5|1|0|237736|30.0708||C|E4
123|124|1|2|Webber, Miss. Susan|female|32.5|0|0|27267|13.0|E101|S|E4
130|131|0|3|Drazenoic, Mr. Jozef|male|33.0|0|0|349241|7.8958||C|E4
137|138|0|1|Futrelle, Mr. Jacques Heath|male|37.0|1|0|113803|53.1|C123|S|E4
148|149|0|2|"Navratil, Mr. Michel (""Louis M Hoffman"")"|male|36.5|0|2|230080|26.0|F2|S|E4
153|154|0|3|van Billiard, Mr. Austin Blyler|male|40.5|0|2|A/5. 851|14.5||S|E4
161|162|1|2|"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)"|female|40.0|0|0|C.A. 33595|15.75||S|E4
179|180|0|3|Leonard, Mr. Lionel|male|36.0|0|0|LINE|0.0||S|E4
188|189|0|3|Bourke, Mr. John|male|40.0|1|1|364849|15.5||Q|E4
189|190|0|3|Turcin, Mr. Stjepan|male|36.0|0|0|349247|7.8958||S|E4
190|191|1|2|Pinsky, Mrs. (Rosa)|female|32.0|0|0|234604|13.0||S|E4
202|203|0|3|Johanson, Mr. Jakob Alfred|male|34.0|0|0|3101264|6.4958||S|E4
206|207|0|3|Backstrom, Mr. Karl Alfred|male|32.0|1|0|3101278|15.85||S|E4
209|210|1|1|Blank, Mr. Henry|male|40.0|0|0|112277|31.0|A31|C|E4
211|212|1|2|Cameron, Miss. Clear Annie|female|35.0|0|0|F.C.C. 13528|21.0||S|E4
218|219|1|1|Bazzani, Miss. Albina|female|32.0|0|0|11813|76.2917|D15|C|E4
224|225|1|1|Hoyt, Mr. Frederick Maxfield|male|38.0|1|0|19943|90.0|C93|S|E4
230|231|1|1|Harris, Mrs. Henry Birkhardt (Irene Wallach)|female|35.0|1|0|36973|83.475|C83|S|E4
239|240|0|2|Hunt, Mr. George Henry|male|33.0|0|0|SCO/W 1585|12.275||S|E4
248|249|1|1|Beckwith, Mr. Richard Leonard|male|37.0|1|1|11751|52.5542|D35|S|E4
254|255|0|3|Rosblom, Mrs. Viktor (Helena Wilhelmina)|female|41.0|0|2|370129|20.2125||S|E4
258|259|1|1|Ward, Miss. Anna|female|35.0|0|0|PC 17755|512.3292||C|E4
263|264|0|1|Harrison, Mr. William|male|40.0|0|0|112059|0.0|B94|S|E4
265|266|0|2|Reeves, Mr. David|male|36.0|0|0|C.A. 17248|10.5||S|E4
269|270|1|1|Bissette, Miss. Amelia|female|35.0|0|0|PC 17760|135.6333|C99|S|E4
272|273|1|2|Mellinger, Mrs. (Elizabeth Anne Maidment)|female|41.0|0|1|250644|19.5||S|E4
273|274|0|1|Natsch, Mr. Charles H|male|37.0|0|1|PC 17596|29.7|C118|C|E4
279|280|1|3|Abbott, Mrs. Stanton (Rosa Hunt)|female|35.0|1|1|C.A. 2673|20.25||S|E4
285|286|0|3|Stankovic, Mr. Ivan|male|33.0|0|0|349239|8.6625||C|E4
292|293|0|2|Levy, Mr. Rene Jacques|male|36.0|0|0|SC/Paris 2163|12.875|D|C|E4
319|320|1|1|Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)|female|40.0|1|1|16966|134.5|E34|C|E4
325|326|1|1|Young, Miss. Marie Grice|female|36.0|0|0|PC 17760|135.6333|C32|C|E4
327|328|1|2|Ball, Mrs. (Ada E Hall)|female|36.0|0|0|28551|13.0|D|S|E4
332|333|0|1|Graham, Mr. George Edward|male|38.0|0|1|PC 17582|153.4625|C91|S|E4
337|338|1|1|Burns, Miss. Elizabeth Margaret|female|41.0|0|0|16966|134.5|E40|C|E4
344|345|0|2|Fox, Mr. Stanley Hubert|male|36.0|0|0|229236|13.0||S|E4
346|347|1|2|Smith, Miss. Marion Elsie|female|40.0|0|0|31418|13.0||S|E4
357|358|0|2|Funk, Miss. Annie Clemmer|female|38.0|0|0|237671|13.0||S|E4
360|361|0|3|Skoog, Mr. Wilhelm|male|40.0|1|4|347088|27.9||S|E4
363|364|0|3|Asim, Mr. Adola|male|35.0|0|0|SOTON/O.Q. 3101310|7.05||S|E4
382|383|0|3|Tikkanen, Mr. Juho|male|32.0|0|0|STON/O 2. 3101293|7.925||S|E4
383|384|1|1|Holverson, Mrs. Alexander Oskar (Mary Aline Towner)|female|35.0|1|0|113789|52.0||S|E4
387|388|1|2|Buss, Miss. Kate|female|36.0|0|0|27849|13.0||S|E4
390|391|1|1|Carter, Mr. William Ernest|male|36.0|1|2|113760|120.0|B96 B98|S|E4
400|401|1|3|Niskanen, Mr. Juha|male|39.0|0|0|STON/O 2. 3101289|7.925||S|E4
405|406|0|2|Gale, Mr. Shadrach|male|34.0|1|0|28664|21.0||S|E4
412|413|1|1|Minahan, Miss. Daisy E|female|33.0|1|0|19928|90.0|C78|Q|E4
416|417|1|2|Drew, Mrs. James Vivian (Lulu Thorne Christian)|female|34.0|1|1|28220|32.5||S|E4
